"PARCELA";"forma";"escala"
1;14,7957971217938;14,6730650012128
2;11,8447616913262;15,0710328468563
3;15,9279413411913;13,2760887774211
4;11,651074819649;12,7662383886669
5;12,7856369188883;13,0895244491115
7;14,8318122125726;15,3005819744675
8;16,9426402494496;15,0665786597156
9;13,3829149343697;14,1293064760176
10;15,2430185787544;14,4488013691756
11;15,7264025292082;14,3082005146297
