PARCELA;DAP
9;14
9;15
9;14
9;14
9;14
9;12
9;12
9;13
9;13
9;14
9;14,5
9;15,5
9;14,5
9;14
9;13
9;15,5
9;14,5
9;14,5
9;15
9;13
9;14,5
9;12
9;13
9;14
9;15
9;14,5
9;14,5
9;13,5
9;14
10;15,5
10;12,5
10;15
10;14
10;11,5
10;16
10;14
10;13
10;14
10;13,5
10;14
10;13
10;13
10;13
10;14
10;13,5
10;15,5
10;14,5
10;14
10;15
10;13
10;15,5
10;15
10;14,5
10;14
10;13
10;13
10;14
10;14
10;13
10;13
10;14
10;14
10;14
10;15
10;12,5
10;14
10;13,5
10;15
10;14,5
10;14
10;12,5
10;16
10;13
10;14
10;13
10;15
10;15
10;14
10;14
10;12,5
10;13,5
10;15
10;14
10;15,5
10;16
10;14,5
10;15
10;14
10;11
10;13
10;13,5
10;12
10;15
10;15
10;15,5
10;14,5
10;15
10;9,5
10;14,5
10;14,5
10;12
10;14
10;15
10;14
10;15
10;14
10;14
10;14
10;13
10;14
10;15
10;14
10;14
10;14
10;15
10;14,5
10;13
10;15
10;13
11;13,5
11;14
11;13
11;14
11;14
11;14
11;13
11;13
11;13
11;14
11;15
11;14
11;15
11;14,5
11;14
11;15
11;14,5
11;13,5
11;14,5
11;14
11;13
11;13,5
11;14,5
11;13
11;14
11;14
11;12
11;14
11;14,5
11;14,5
11;11,5
11;15
11;12,5
11;13
11;14
11;15,5
11;13,5
11;15
11;14
11;13
11;12
11;14
11;15
11;15
11;14
11;13
11;13,5
11;14
11;14
11;12,5
11;15
11;12,5
11;15
11;14
11;13
11;14
11;14
11;16
11;15
11;13
11;14
11;14
11;16
11;14
11;12
11;14
11;12
11;15
11;15
11;15
11;14
11;14
11;13
11;13
11;14
11;16
11;14
11;14
11;14
11;11
11;13
11;13
11;13,5
11;13
11;14,5
11;14
11;14
11;14
11;15
